age_class,Home<>Education,Home<>Leisure,Home<>Other,Home<>Shop,Home<>Work,Secondary trip (non link to home)
0-10,494000.0,141000.0,103000.0,58000.0,12000.0,89000.0
11-14,227000.0,44000.0,41000.0,22000.0,6000.0,32000.0
15-17,15000.0,63000.0,33000.0,21000.0,111000.0,74000.0
18-24,48000.0,146000.0,120000.0,75000.0,256000.0,174000.0
25-49,120000.0,421000.0,844000.0,434000.0,1016000.0,682000.0
50-64,21000.0,397000.0,225000.0,312000.0,548000.0,202000.0
65+,51000.0,555000.0,186000.0,503000.0,44000.0,122000.0
