,Age class,INSEE,EQASIM,Proportion_INSEE,Proportion_EQASIM
0,0-10,301948.6526810436,292000.0,0.10719459224171983,0.10398860398860399
1,11-14,134358.57708914133,126000.0,0.04769854992683787,0.04487179487179487
2,15-17,100346.00778293637,96000.0,0.03562377010749155,0.03418803418803419
3,18-24,240168.40982916098,259000.0,0.08526202893236301,0.09223646723646724
4,25-49,859458.9976262031,837000.0,0.305115972470779,0.2980769230769231
5,50-64,546185.9686582593,552000.0,0.19390112086480105,0.19658119658119658
6,65+,634360.6755323265,646000.0,0.22520396545600727,0.23005698005698005
