,Age class,HTS,HTS adjust with INSEE population weights,EQASIM,Proportion_HTS,Proportion_EQASIM
0,0-10,558072.38087638,742745.5212769279,897000.0,0.07751744956431121,0.09870158450704225
1,11-14,242147.06314072,322276.55910097994,372000.0,0.033634745952989153,0.0409330985915493
2,15-17,204456.04574180002,272113.1119842164,317000.0,0.02839938287040802,0.034881161971830985
3,18-24,526327.17869782,700495.4341052086,819000.0,0.07310797295677689,0.09011883802816902
4,25-49,3375152.82062318,4492033.161014579,3517000.0,0.4688159592016346,0.386993838028169
5,50-64,1432354.36848957,1906338.3685220073,1705000.0,0.19895709109139043,0.1876100352112676
6,65+,860803.1230954,1145653.657642531,1461000.0,0.11956739836248977,0.16076144366197184
